2015-04-05 17:26:44,292 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2015-04-05 17:26:44,591 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-04-05 17:26:44,592 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-04-05 17:26:45,183 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2015-04-05 17:26:45,184 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 0ms)
2015-04-05 17:26:45,234 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-04-05 17:26:45,234 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-04-05 17:26:45,244 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2015-04-05 17:26:45,244 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 19 (took 0ms)
2015-04-05 17:26:45,256 [6] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2015-04-05 17:26:45,740 [6] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2015-04-05 17:26:46,164 [6] INFO  Umbraco.Web.UmbracoModule - [Thread 10] Setting OriginalRequestUrl: localhost:17453/umbraco
2015-04-05 17:26:46,234 [6] INFO  umbraco.content - [Thread 10] Loading content from disk cache...
2015-04-05 17:26:46,338 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-04-05 17:26:46,339 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 22 (took 0ms)
2015-04-05 17:26:46,636 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-04-05 17:26:46,637 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 43 (took 0ms)
2015-04-05 17:26:46,767 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
2015-04-05 17:26:46,768 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 2 (took 0ms)
2015-04-05 17:26:46,939 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of umbraco.interfaces.IDataType
2015-04-05 17:26:46,940 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.interfaces.IDataType, found 35 (took 0ms)
2015-04-05 17:26:46,944 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of umbraco.interfaces.ITree
2015-04-05 17:26:46,945 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 0ms)
2015-04-05 17:26:46,984 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of umbraco.MacroEngines.IRazorDataTypeModel
2015-04-05 17:26:46,985 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.MacroEngines.IRazorDataTypeModel, found 2 (took 0ms)
2015-04-05 17:26:47,644 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-04-05 17:26:47,644 [6] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 43 (took 0ms)
2015-04-05 18:14:53,029 [6] INFO  Umbraco.Web.Security.WebSecurity - [Thread 12] User Id: 0 logged in
2015-04-05 18:14:53,989 [6] INFO  Umbraco.Core.PluginManager - [Thread 15] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-04-05 18:14:53,989 [6] INFO  Umbraco.Core.PluginManager - [Thread 15] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-04-05 18:16:21,125 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 25] Content 'Custom Software Developmente' with Id '1088' has been published.
2015-04-05 18:16:21,251 [6] INFO  Umbraco.Core.PluginManager - [Thread 25] Starting resolution types of umbraco.interfaces.ICacheRefresher
2015-04-05 18:16:21,253 [6] INFO  Umbraco.Core.PluginManager - [Thread 25] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 20 (took 1ms)
2015-04-05 18:16:31,893 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 83] Content 'Custom Software Developmente' with Id '1088' has been published.
2015-04-05 18:16:50,767 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 25] Content 'Custom Software Development' with Id '1088' has been published.
2015-04-05 18:17:02,820 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 10] Content 'sadas' with Id '1087' has been published.
2015-04-05 18:17:41,859 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 8] Content 'Software Development' with Id '1087' has been published.
2015-04-05 18:25:28,586 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 52] Content 'Software Maintenance Services' with Id '1125' has been published.
2015-04-05 18:27:53,506 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 42] Content 'Software Maintenance Services' with Id '1125' has been published.
2015-04-05 18:31:09,707 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 73] Content 'Mobile Application Development' with Id '0' has been published.
2015-04-05 18:31:32,606 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 39] Content 'Custom Software Development' with Id '1088' has been published.
2015-04-05 18:32:47,802 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 50] Content 'Mobile Application Development' with Id '1126' has been published.
2015-04-05 19:42:27,102 [6] INFO  Umbraco.Web.Security.WebSecurity - [Thread 65] User Id: 0 logged in
2015-04-05 19:45:14,376 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 24] Content 'Web Design & Development' with Id '1127' has been published.
2015-04-05 19:49:02,808 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 63] Content 'Corporate Identity and Branding' with Id '0' has been published.
2015-04-05 19:53:58,902 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 55] Content 'Social Media Marketing' with Id '0' has been published.
2015-04-05 19:54:44,079 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 43] Content 'Design Services' with Id '1090' has been published.
2015-04-05 19:55:07,512 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 80] Content 'Corporate Identity and Branding' with Id '1128' has been published.
2015-04-05 19:55:16,491 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 18] Content 'Social Media Marketing' with Id '1129' has been published.
2015-04-05 19:55:45,942 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 39] Content 'Social Media Marketing' with Id '1129' has been published.
2015-04-05 19:55:59,630 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 75] Content 'Social Media Marketing' with Id '1129' has been published.
2015-04-05 19:56:36,426 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 71] Content 'Corporate Identity and Branding' with Id '1128' has been published.
2015-04-05 19:56:56,948 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 22] Content 'Corporate Identity and Branding' with Id '1128' has been published.
2015-04-05 20:00:30,284 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 38] Content 'Contact Form' with Id '1097' has been unpublished.
2015-04-05 20:26:21,054 [6] INFO  Umbraco.Web.Security.WebSecurity - [Thread 76] User Id: 0 logged in
2015-04-05 20:26:42,372 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 61] Content 'Third Category' with Id '1091' has been published.
2015-04-05 20:27:30,927 [6] INFO  Umbraco.Web.Security.WebSecurity - [Thread 47] User Id: 0 logged in
2015-04-05 20:27:31,748 [6] INFO  Umbraco.Core.PluginManager - [Thread 43] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-04-05 20:27:31,748 [6] INFO  Umbraco.Core.PluginManager - [Thread 43] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 0ms)
2015-04-05 20:28:28,309 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 61] Content 'MAS Fire Sprinkle Software' with Id '1094' has been published.
2015-04-05 20:37:20,730 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 44] Content 'MAS Fire Sprinkle Software' with Id '1094' has been published.
2015-04-05 20:37:35,528 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 8] Content 'MAS Fire Sprinkle Software' with Id '1094' has been published.
2015-04-05 20:39:57,938 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 31] Content 'MAS Fire Sprinkle Software' with Id '1094' has been published.
2015-04-05 20:40:19,982 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 23] Content 'MAS Fire Sprinkle Software' with Id '1094' has been published.
2015-04-05 20:41:52,324 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 73] Content 'MAS Fire Sprinkle Software' with Id '1094' has been published.
